,City,Price,Area,Location,NoofBedrooms,LiftAvailable,Resale
289,Banglore,3696000,1056,Uttarahalli,2,1,0
290,Banglore,4140000,1183,Uttarahalli,2,1,0
291,Banglore,3832000,1095,Uttarahalli,2,1,0
292,Banglore,3377000,965,Uttarahalli,2,1,0
293,Banglore,4560000,1303,Uttarahalli,3,1,0
294,Banglore,5015000,1433,Uttarahalli,3,1,0
295,Banglore,3769000,1077,Uttarahalli,2,1,0
296,Banglore,3447000,985,Uttarahalli,2,1,0
297,Banglore,4956000,1416,Uttarahalli,3,1,0
298,Banglore,5323000,1521,Uttarahalli,3,1,0
299,Banglore,3954999,1130,Uttarahalli,2,1,0
300,Banglore,3419000,977,Uttarahalli,2,1,0
301,Banglore,5351000,1529,Uttarahalli,3,1,0
302,Banglore,4434000,1267,Uttarahalli,3,1,0
303,Banglore,7837000,1866,Anagalapura Near Hennur Main Road,3,1,0
304,Banglore,9834000,2235,Anagalapura Near Hennur Main Road,3,1,0
305,Banglore,8298999,1976,Anagalapura Near Hennur Main Road,3,1,0
306,Banglore,8728000,2182,Anagalapura Near Hennur Main Road,3,1,0
307,Banglore,9453000,1725,Hosa Road,3,1,0
308,Banglore,15000000,1795,Sahakar Nagar,2,1,0
309,Banglore,8900000,1000,Sahakar Nagar,1,1,0
310,Banglore,14400000,1740,Sahakar Nagar,2,1,0
311,Banglore,12700000,1490,Sahakar Nagar,2,1,0
312,Banglore,12500000,1320,Sahakar Nagar,3,1,0
313,Banglore,20099999,2330,Sahakar Nagar,4,1,0
314,Banglore,18800000,2165,Sahakar Nagar,3,1,0
315,Banglore,13700000,1645,Sahakar Nagar,2,1,0
316,Banglore,18900000,1985,Sahakar Nagar,3,1,0
317,Banglore,8500000,1616,Avalahalli Off Sarjapur Road,3,1,0
318,Banglore,12000000,2225,Sarjapur Road Wipro To Railway Crossing,3,1,0
319,Banglore,9000000,1541,Hosa Road,3,1,0
320,Banglore,9300000,1515,Varthur,3,1,0
321,Banglore,11000000,1690,Uttarahalli,3,1,1
322,Banglore,12000000,2225,Sarjapur Road Wipro To Railway Crossing,3,0,0
323,Banglore,18000000,1770,Bilekahalli,3,1,1
324,Banglore,29300000,3012,Bilekahalli,4,1,0
325,Banglore,22799999,2370,Bilekahalli,3,1,0
326,Banglore,3200000,700,R T  Nagar,1,0,1
327,Banglore,3200000,700,R T  Nagar,1,0,1
328,Banglore,11000000,1335,JP Nagar Phase 7,2,1,0
329,Banglore,9800000,1690,Subramanyapura,3,1,0
330,Banglore,42500000,4282,JP Nagar Phase 4,4,1,1
331,Banglore,13500000,1500,Sahakar Nagar,3,1,1
332,Banglore,15600000,1880,JP Nagar Phase 7,3,1,0
333,Banglore,18900000,1985,Sahakar Nagar,3,1,0
334,Banglore,15400000,1795,Sahakar Nagar,2,1,0
335,Banglore,12300000,1410,Sahakar Nagar,2,1,0
336,Banglore,6845999,1042,JP Nagar Phase 8,2,1,0
337,Banglore,9173000,1408,JP Nagar Phase 8,3,1,0
338,Banglore,9471000,1455,JP Nagar Phase 8,3,1,0
339,Banglore,7247000,1105,JP Nagar Phase 8,2,1,0
340,Banglore,5599000,1120,Amruthahalli,2,1,0
341,Banglore,11800000,1345,Sahakar Nagar,1,1,0
342,Banglore,4815000,1107,Horamavu,2,1,0
343,Banglore,4880000,1122,Horamavu,2,1,0
344,Banglore,5050000,1161,Horamavu,2,1,0
345,Banglore,4619000,1062,Horamavu,2,1,0
346,Banglore,4785000,1100,Horamavu,2,1,0
347,Banglore,4972000,1143,Horamavu,2,1,0
348,Banglore,4737000,1089,Horamavu,2,1,0
349,Banglore,4854000,1116,Horamavu,2,1,0
350,Banglore,28300000,3033,Banashankari,4,1,0
351,Banglore,21400000,2378,Banashankari,3,1,0
352,Banglore,23500000,2522,Banashankari,3,1,0
353,Banglore,29900000,3205,Banashankari,4,1,0
354,Banglore,9200000,1376,RR Nagar,2,1,0
355,Banglore,8000000,1168,RR Nagar,2,1,0
356,Banglore,9200000,1373,RR Nagar,2,1,0
357,Banglore,8000000,1168,RR Nagar,2,1,0
358,Banglore,8000000,1168,RR Nagar,2,1,0
359,Banglore,9300000,1376,RR Nagar,2,1,0
360,Banglore,7900000,1168,RR Nagar,2,1,0
361,Banglore,9200000,1376,RR Nagar,2,1,0
362,Banglore,9100000,1373,RR Nagar,2,1,0
363,Banglore,9000000,1373,RR Nagar,2,1,0
364,Banglore,7900000,1168,RR Nagar,2,1,0
365,Banglore,7900000,1160,RR Nagar,2,1,0
366,Banglore,8000000,1168,RR Nagar,2,1,0
367,Banglore,7800000,1160,RR Nagar,2,1,0
368,Banglore,9200000,1373,RR Nagar,2,1,0
369,Banglore,9100000,1376,RR Nagar,2,1,0
370,Banglore,9100000,1373,RR Nagar,2,1,0
371,Banglore,9000000,1373,RR Nagar,2,1,0
372,Banglore,7900000,1168,RR Nagar,2,1,0
373,Banglore,8800000,1373,RR Nagar,2,1,0
374,Banglore,3990000,1140,Kengeri,3,1,0
375,Banglore,4021000,1149,Kengeri,3,1,0
376,Banglore,4088000,1168,Kengeri,3,1,0
377,Banglore,9060000,1275,Begur,2,1,0
378,Banglore,8644000,1210,Begur,2,1,0
379,Banglore,8836000,1240,Begur,2,1,0
380,Banglore,10200000,1450,Begur,3,1,0
381,Banglore,8528000,1192,Begur,2,1,0
382,Banglore,8516000,1190,Begur,2,1,0
383,Banglore,8804000,1235,Begur,2,1,0
384,Banglore,9910000,1400,Begur,3,1,0
385,Banglore,7634000,1606,Ramamurthy Nagar,3,1,0
386,Banglore,5970000,1239,Ramamurthy Nagar,2,1,0
387,Banglore,7675000,1615,Ramamurthy Nagar,3,1,0
388,Banglore,5702000,1180,Ramamurthy Nagar,2,1,0
389,Banglore,6210000,1292,Ramamurthy Nagar,2,1,0
390,Banglore,2520000,900,Attibele,2,1,0
391,Banglore,3304000,1180,Attibele,3,1,0
392,Banglore,3010000,1075,Attibele,3,1,0
393,Banglore,2800000,1000,Attibele,2,1,0
394,Banglore,2464000,880,Attibele,2,1,0
395,Banglore,5557000,1185,Kadugodi,2,0,0
396,Banglore,11900000,2540,Kadugodi,3,0,0
397,Banglore,7738000,1650,Kadugodi,3,0,0
398,Banglore,6354000,1355,Kadugodi,2,0,0
399,Banglore,2814000,600,Kadugodi,1,0,0
400,Banglore,5463000,1165,Kadugodi,2,0,0
401,Banglore,7456999,1590,Kadugodi,3,0,0
402,Banglore,5416000,1155,Kadugodi,2,0,0
403,Banglore,11700000,2495,Kadugodi,3,0,0
404,Banglore,5604000,1195,Kadugodi,2,0,0
405,Banglore,7175000,1530,Kadugodi,3,0,0
406,Banglore,7504000,1600,Kadugodi,3,0,0
407,Banglore,5628000,1200,Kadugodi,2,0,0
408,Banglore,5200000,884,Nagarbhavi,2,0,0
409,Banglore,5200000,884,Nagarbhavi,2,1,0
410,Banglore,6385000,1120,Kodigehalli,2,1,0
411,Banglore,6531999,1005,Banaswadi,2,0,0
412,Banglore,9457000,1455,Banaswadi,3,0,0
413,Banglore,9035000,1390,Banaswadi,3,0,0
414,Banglore,6662000,1025,Banaswadi,2,0,0
415,Banglore,7181999,1105,Banaswadi,2,0,0
416,Banglore,7377000,1135,Banaswadi,2,0,0
417,Banglore,7125000,1425,Whitefield Hope Farm Junction,3,0,0
418,Banglore,6389000,1125,Kodigehalli,2,1,0
419,Banglore,6459000,1125,Kodigehalli,2,1,0
420,Banglore,11800000,2021,ITPL,3,1,0
421,Banglore,11500000,1971,ITPL,3,1,0
422,Banglore,7920000,1354,ITPL,2,1,0
423,Banglore,10700000,1845,ITPL,3,1,0
424,Banglore,10600000,1823,ITPL,3,1,0
425,Banglore,8464000,1447,ITPL,2,1,0
426,Banglore,8184000,1399,ITPL,2,1,0
427,Banglore,10100000,1735,ITPL,3,1,0
428,Banglore,8178000,1398,ITPL,2,1,0
429,Banglore,11299999,1940,ITPL,3,1,0
430,Banglore,10100000,1743,ITPL,3,1,0
431,Banglore,8289000,1417,ITPL,2,1,0
432,Banglore,7856000,1343,ITPL,2,1,0
433,Banglore,8254000,1411,ITPL,2,1,0
434,Banglore,7820999,1337,ITPL,2,1,0
435,Banglore,11700000,2010,ITPL,3,1,0
436,Banglore,10500000,1797,ITPL,3,1,0
437,Banglore,10300000,1768,ITPL,3,1,0
438,Banglore,4455000,990,JP Nagar Phase 8,2,0,0
439,Banglore,4905000,1090,JP Nagar Phase 8,2,0,0
440,Banglore,5550000,1250,Vidyaranyapura,2,1,0
441,Banglore,4500000,1012,Vidyaranyapura,2,1,0
442,Banglore,13000000,1630,Narayanapura on Hennur Main Road,3,1,0
443,Banglore,5500000,1082,Kumbalgodu,2,1,0
444,Banglore,20700000,1987,JP Nagar Phase 7,3,1,0
445,Banglore,3999000,1333,Sarjapur,3,1,0
446,Banglore,3522000,1174,Sarjapur,3,1,0
447,Banglore,2874000,958,Sarjapur,2,1,0
448,Banglore,3682000,1473,Attibele,3,1,0
449,Banglore,3427000,1371,Attibele,3,1,0
450,Banglore,3932000,1573,Attibele,3,1,0
451,Banglore,3822000,1529,Attibele,3,1,0
452,Banglore,2487000,995,Attibele,2,1,0
453,Banglore,5580000,1240,JP Nagar Phase 8,3,0,0
454,Banglore,5130000,1140,JP Nagar Phase 8,3,0,0
455,Banglore,4910000,884,Nagarbhavi,2,0,0
456,Banglore,4910000,884,Nagarbhavi,2,0,0
457,Banglore,4342000,1241,Electronic City Phase 1,3,1,0
458,Banglore,3338000,954,Electronic City Phase 1,2,1,0
459,Banglore,2578000,737,Electronic City Phase 1,2,1,0
460,Banglore,3415000,976,Electronic City Phase 1,2,1,0
461,Banglore,3114000,890,Electronic City Phase 1,2,1,0
462,Banglore,2879000,823,Electronic City Phase 1,2,1,0
463,Banglore,4485000,1282,Electronic City Phase 1,3,1,0
464,Banglore,3124000,893,Electronic City Phase 1,2,1,0
465,Banglore,4713000,1347,Electronic City Phase 1,3,1,0
466,Banglore,4517000,1291,Electronic City Phase 1,2,1,0
467,Banglore,4734000,1353,Electronic City Phase 1,3,1,0
468,Banglore,3159000,903,Electronic City Phase 1,2,1,0
469,Banglore,4219000,1206,Electronic City Phase 1,3,1,0
470,Banglore,4734000,1353,Electronic City Phase 1,3,1,0
471,Banglore,2578000,743,Electronic City Phase 1,2,1,0
472,Banglore,3645000,1042,Electronic City Phase 1,2,1,0
473,Banglore,4342000,1241,Electronic City Phase 1,2,1,0
474,Banglore,2253000,644,Electronic City Phase 1,1,1,0
475,Banglore,2893000,827,Electronic City Phase 1,2,1,0
476,Banglore,2614000,747,Electronic City Phase 1,2,1,0
477,Banglore,10500000,2000,Nagarbhavi,3,1,0
478,Banglore,4867000,1352,Electronic City Phase 1,3,1,0
